step,error,bandwidth_kbps,K,surprise
0,4.563431147685034,0.0,16,nan
1,4.6960281539248365,0.0,16,nan
2,4.334703113194293,0.0,16,nan
3,4.130832276934269,0.0,16,nan
4,4.093854883766813,0.0,16,nan
5,3.1230562128286343,0.0,16,nan
6,3.6816135728534474,0.0,16,nan
7,4.317390109355907,0.0,16,nan
8,3.6264010386240306,0.0,16,nan
9,3.3651995021362637,0.0,16,nan
10,2.9938803561256115,0.0,16,nan
11,4.210386262560746,0.0,16,nan
12,4.24888934483496,0.0,16,nan
13,2.9661768452736923,0.0,16,nan
14,3.993785495133049,0.0,16,nan
15,3.6943154286092694,0.0,16,nan
16,2.9748877572781725,0.0,16,nan
17,4.803696283663963,0.0,16,nan
18,3.7829570053576034,0.0,16,nan
19,4.118846496792001,0.0,16,nan
20,4.310760509715377,0.0,16,nan
21,2.9160319990348116,0.0,16,nan
22,3.942639916698211,0.0,16,nan
23,4.202520923362504,0.0,16,nan
24,3.3713467861455,0.0,16,nan
25,4.0652309422806985,0.0,16,nan
26,3.0570822138000846,0.0,16,nan
27,4.566828668372327,0.0,16,nan
28,4.798114716658637,0.0,16,nan
29,4.170234119676694,0.0,16,nan
30,3.869609812289465,0.0,16,nan
31,4.543878073994089,0.0,16,nan
32,4.185370324032321,0.0,16,nan
33,3.9135096886043264,0.0,16,nan
34,4.682724960141347,0.0,16,nan
35,3.201289172436514,0.0,16,nan
36,3.2327427938166386,0.0,16,nan
37,4.038984743943437,0.0,16,nan
38,3.9738276873279657,0.0,16,nan
39,3.5577508794961443,0.0,16,nan
40,3.943949525185373,0.0,16,nan
41,3.8058696627986466,0.0,16,nan
42,4.182049816651788,0.0,16,nan
43,4.385076699023938,0.0,16,nan
44,4.3891128221620574,0.0,16,nan
45,4.315465278159967,0.0,16,nan
46,3.7468982420480637,0.0,16,nan
47,3.011868485695694,0.0,16,nan
48,3.9226424544664047,0.0,16,nan
49,2.678916994992329,0.0,16,nan
50,2.8987045595929497,0.0,16,nan
51,3.0406840419118497,0.0,16,nan
52,3.204428484090396,0.0,16,nan
53,3.197333023343212,0.0,16,nan
54,3.2396924403828247,0.0,16,nan
55,4.3690826397186475,0.0,16,nan
56,3.4975022866105574,0.0,16,nan
57,3.715572663997429,0.0,16,nan
58,4.332502566220697,0.0,16,nan
59,4.488672417086893,0.0,16,nan
60,4.592407066085057,0.0,16,nan
61,4.6282352108378,0.0,16,nan
62,4.286294765642404,0.0,16,nan
63,5.1915640540982535,0.0,16,nan
64,3.424717049458386,0.0,16,nan
65,4.668913852566751,0.0,16,nan
66,2.780601517223415,0.0,16,nan
67,3.926838981137019,0.0,16,nan
68,4.020186007118503,0.0,16,nan
69,3.787079660005245,0.0,16,nan
70,3.518784612603481,0.0,16,nan
71,3.1656584414093554,0.0,16,nan
72,4.521372598964694,0.0,16,nan
73,3.4437280048878414,0.0,16,nan
74,2.9355824543822178,0.0,16,nan
75,2.8267991063093554,0.0,16,nan
76,3.9892577161849556,0.0,16,nan
77,4.118714646632668,0.0,16,nan
78,3.730557986572361,0.0,16,nan
79,3.835924746646657,0.0,16,nan
80,3.2751975380813523,0.0,16,nan
81,3.2728139589544853,0.0,16,nan
82,2.7576093285824426,0.0,16,nan
83,4.261373144404667,0.0,16,nan
84,3.8899368786486486,0.0,16,nan
85,4.101632825203004,0.0,16,nan
86,3.0919036299085745,0.0,16,nan
87,5.1638241160583105,0.0,16,nan
88,2.6316226829579827,0.0,16,nan
89,3.995164556048308,0.0,16,nan
90,3.777811559390523,0.0,16,nan
91,3.088405637620002,0.0,16,nan
92,5.296843872778219,0.0,16,nan
93,5.365211577150722,0.0,16,nan
94,3.047462581023737,0.0,16,nan
95,3.5887924487141327,0.0,16,nan
96,3.2444382639875204,0.0,16,nan
97,3.1036442104634063,0.0,16,nan
98,4.039942045161641,0.0,16,nan
99,3.464868439003565,0.0,16,nan
100,3.6378567683129543,0.0,16,nan
101,4.525628078259175,0.0,16,nan
102,2.8631226406165835,0.0,16,nan
103,3.5958319336770326,0.0,16,nan
104,4.932736165666417,0.0,16,nan
105,3.6198773033042726,0.0,16,nan
106,3.216049156588342,0.0,16,nan
107,3.5464159883736177,0.0,16,nan
108,4.08009154192447,0.0,16,nan
109,3.8866629106464554,0.0,16,nan
110,3.3263559036618857,0.0,16,nan
111,4.298820798006238,0.0,16,nan
112,3.716983008516392,0.0,16,nan
113,4.4011684682639745,0.0,16,nan
114,4.367240727858622,0.0,16,nan
115,3.5351674788443157,0.0,16,nan
116,4.112915328964511,0.0,16,nan
117,3.6946554594617638,0.0,16,nan
118,4.799695992699189,0.0,16,nan
119,3.7717003028134504,0.0,16,nan
