step,error,bandwidth_kbps,K,surprise
0,0.2999858004444702,0.112,14,3.253838007657197
1,0.11875193210478639,0.12,15,3.396267618364502
2,0.05335747837115671,0.128,16,4.372091916587118
3,0.07831828015986565,0.128,16,4.357857299613194
4,1.204617354496438,0.088,11,2.7223436029960677
5,0.7654476917308826,0.088,11,2.727624217756048
6,1.5789048350917443,0.096,12,2.9007768827828766
7,2.757916019610975,0.048,6,1.9664253092403154
8,2.1760298401574363,0.032,4,1.5421850814473514
9,1.8567230045362677,0.064,8,2.1828025654476133
10,2.5737909505407353,0.056,7,2.0022871990067634
11,1.4782295067428317,0.04,5,1.6438640182989688
12,2.9306604328814276,0.024,3,1.3497866158811302
13,3.3919162424990854,0.016,2,1.2377017307119378
14,3.1652127438837296,0.024,3,1.4662172461042673
15,2.934637971825891,0.024,3,1.3358622914431593
16,3.5634230929704724,0.024,3,1.355643626474461
17,3.615870036608304,0.04,5,1.7912798555177238
18,2.8694723841507552,0.024,3,1.3118873410895067
19,2.9905435714757056,0.032,4,1.604988851495753
20,3.948073501213573,0.016,2,1.2642632264991
21,3.6727304512748504,0.032,4,1.5607773720004885
22,4.583164581387807,0.032,4,1.6126941642364765
23,3.327476020424924,0.032,4,1.4717055414864704
24,4.23003077356073,0.008,1,1.0725643508166531
25,3.6882105650237857,0.024,3,1.3313054794806305
26,4.142824249893398,0.016,2,1.2108237865957516
27,3.361735485450756,0.008,1,0.9228754807667868
28,4.236779653422625,0.032,4,1.5887871721706204
29,3.6465158720736146,0.032,4,1.5163473297973529
30,3.6367803745558236,0.016,2,1.2069852983786251
31,3.625521542437355,0.016,2,1.138320713160547
32,3.345142004008894,0.008,1,0.8394745436121841
33,3.6937536263054813,0.008,1,0.8825141515059671
34,4.282781865932899,0.024,3,1.3300046892435773
35,5.113471862535411,0.016,2,1.2805175103467603
36,3.5747830376048766,0.016,2,1.2588596382554262
37,4.586786209601372,0.024,3,1.398670354546328
38,4.486587148822851,0.008,1,1.0685992974434215
39,4.335459318726545,0.016,2,1.1701032637816426
40,4.39652571443977,0.016,2,1.1607344011220808
41,4.246204138093798,0.008,1,0.9435668557678947
42,4.966391805555051,0.016,2,1.2169595076741138
43,4.671555110911664,0.016,2,1.2122277572162397
44,4.399933920509689,0.016,2,1.2058080398200743
45,4.6320665211755445,0.016,2,1.1443942406289058
46,5.061942910889484,0.008,1,1.0613228408741648
47,4.025753258134797,0.008,1,0.8840350808658489
48,4.305580012844713,0.016,2,1.1740021357072634
49,4.8130696879673325,0.016,2,1.1656279487147736
50,4.690173050960953,0.016,2,1.1530263511584582
51,4.702934154507758,0.008,1,1.0511364125282352
52,5.696644004171291,0.024,3,1.4303775241831453
53,5.508075566077403,0.008,1,1.1208283577123608
54,4.946517980238616,0.008,1,1.0697515940809
55,4.2918626852068575,0.016,2,1.202580274910141
56,5.298520479091845,0.008,1,1.1070946622640139
57,5.267787496000236,0.016,2,1.1475463249086941
58,4.38306930335853,0.008,1,0.9473475054287219
59,4.595541355177603,0.008,1,0.8986974498824404
60,4.553578465064795,0.008,1,0.8724143155859713
61,4.431635442201033,0.008,1,0.9736831516662616
62,5.039597082412198,0.008,1,1.029726404199396
63,4.636187774922226,0.008,1,0.8977290301376687
64,5.189572180984158,0.008,1,1.0779408335265797
65,4.840088474027255,0.008,1,0.9273383037730413
66,5.195598849899218,0.008,1,1.0603913954572548
67,4.572648775002559,0.008,1,0.9748781799342748
68,3.704275518010726,0.008,0,0.6553680731420636
69,4.4415532811614815,0.008,1,0.9036316639880136
70,5.580369521681042,0.016,2,1.2730851927419595
71,5.276620104586103,0.008,1,1.0543419775925738
72,5.753831640007112,0.008,1,1.1299895049054611
73,4.960240321023405,0.008,1,0.9446848399735094
74,4.570473220866471,0.008,1,1.003134007036658
75,4.969949789500254,0.008,1,1.0172458041075902
76,4.631132035368424,0.008,1,1.1304704883437136
77,5.761249586209854,0.008,1,1.1295029918513482
78,4.454290379375985,0.008,1,0.9099679345752236
79,5.678792078439456,0.008,1,1.0571252132083264
80,5.382463451822054,0.008,1,1.0520547408470775
81,4.548389040060811,0.008,1,0.9166612872943566
82,4.868066525680731,0.008,1,0.9683784230654685
83,3.779512060799689,0.008,1,0.8686400206971711
84,4.653711146412396,0.008,1,1.0958577149083477
85,4.906863816112248,0.016,2,1.1779353352385908
86,5.195158023271751,0.016,2,1.249858693246924
87,5.924920468834426,0.024,3,1.3419325003260114
88,5.836754714544011,0.008,1,1.1059036160790723
89,4.669306768927228,0.008,1,1.005348233447559
90,5.685062639860817,0.008,1,1.090810976507926
91,4.579783577842543,0.008,1,0.9041636538041578
92,5.1605216993590135,0.008,1,0.9773416267418159
93,5.095411878331201,0.008,1,0.9414545503410487
94,4.670440748778047,0.008,1,0.8816253314977517
95,4.3483719069152516,0.008,0,0.7345285152438268
96,5.810108740124403,0.008,1,1.0585129705382335
97,3.4085392485255985,0.008,0,0.5864907756247564
98,5.325833348175127,0.008,1,1.056324045752482
99,5.812737826270912,0.008,1,1.1296883988352187
100,4.126008561977827,0.008,0,0.7136029363875478
101,3.786507855003167,0.008,1,0.8526659568331252
102,4.30841179135294,0.008,1,0.9101637364760797
103,4.231480647772395,0.008,1,0.8971893512864737
104,4.843515871428213,0.008,1,0.9664537807292505
105,5.40329953414567,0.008,1,1.0691787960111176
106,4.034786158015447,0.008,0,0.7195157207395351
107,4.231872683266813,0.008,0,0.7640341164268355
108,4.279007755479642,0.008,1,0.904639654367892
109,4.7559211723199075,0.008,1,0.9441928343639948
110,4.403174478719871,0.008,1,0.9290922350008191
111,4.721713037913872,0.008,1,1.0628101052800314
112,4.856750081331546,0.008,1,1.079976306952703
113,4.741911439653982,0.016,2,1.255966313827412
114,4.862726449911967,0.008,1,1.0219910737385698
115,4.303001016289531,0.008,1,0.9620097411927548
116,3.9478103220349507,0.008,1,0.8254776733103493
117,4.273520332517401,0.008,0,0.7808838368259005
118,4.022462743793159,0.008,1,0.8261434971035017
119,4.396335359178653,0.008,1,0.9089758923703258
